30a relays,COMPONENTS,588,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
Bc-547 transistor,COMPONENTS,589,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
5v-10a relay,COMPONENTS,590,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
330 ohm resistor,COMPONENTS,591,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
1k resistor,COMPONENTS,592,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
pcb ,COMPONENTS,593,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
10A 1Co-regulator,COMPONENTS,594,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
Ip-Pcf 8574,COMPONENTS,595,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
12v-2a Adaptor,COMPONENTS,596,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
5v-2a adaptor,COMPONENTS,597,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
10k Resistors,COMPONENTS,598,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
Sensor Circuit Board,COMPONENTS,599,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
IC base 16 Pin,COMPONENTS,600,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
IN 4148 Diodes,COMPONENTS,601,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
Solonoids,COMPONENTS,602,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
74574 D-Flipflop smd,COMPONENTS,603,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
680 Ohm smd,COMPONENTS,604,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
2.7k smd,COMPONENTS,605,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
Limit Switches/Magnetic Switches,COMPONENTS,606,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
680 ohm Resistor,COMPONENTS,607,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
IN4007 Diode,COMPONENTS,608,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
555 Timer ic,COMPONENTS,609,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
8 pin ic  base,COMPONENTS,610,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
4.7k Resistor,COMPONENTS,611,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
12v-16A Relay,COMPONENTS,612,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
12v-7A  Relay,COMPONENTS,613,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
heat Sinks,COMPONENTS,614,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
Neon Lamps,COMPONENTS,615,JTS,DIP,no,10,10,no,no,no,10,10,10,1,1,1,1
